2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=8, avg_price_diff=95, total_volume_a=161927.0, total_volume_b=169474.0
Keep Low=> total_count=8, avg_price_diff=96, total_volume_a=117835.0, total_volume_b=45209.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=4601.0, total_volume_b=1650.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=14982.0, total_volume_b=13670.0
Keep Low=> total_count=4, avg_price_diff=95, total_volume_a=41738.0, total_volume_b=254001.0
Keep Low=> total_count=1, avg_price_diff=94, total_volume_a=86264.0, total_volume_b=149610.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=69500.0, total_volume_b=175011.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=255232.0, total_volume_b=486947.0
Keep Low=> total_count=12, avg_price_diff=88, total_volume_a=504200.0, total_volume_b=720624.0
Keep Low=> total_count=7, avg_price_diff=93, total_volume_a=112865.0, total_volume_b=630156.0
Keep Low=> total_count=26, avg_price_diff=86, total_volume_a=1402016.0, total_volume_b=642646.0
Keep Low=> total_count=5, avg_price_diff=95, total_volume_a=73430.0, total_volume_b=109106.0
Keep Low=> total_count=15, avg_price_diff=89, total_volume_a=1089390.0, total_volume_b=207183.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=3383.0, total_volume_b=4000.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=198.0, total_volume_b=59521.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=146131.0, total_volume_b=77541.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=8156.0, total_volume_b=1000.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=21636.0, total_volume_b=15235.0
Keep Low=> total_count=2, avg_price_diff=94, total_volume_a=381970.0, total_volume_b=1957.0
Keep Low=> total_count=2, avg_price_diff=88, total_volume_a=311634.0, total_volume_b=117167.0
Keep Low=> total_count=3, avg_price_diff=84, total_volume_a=637304.0, total_volume_b=323102.0
Keep Low=> total_count=3, avg_price_diff=90, total_volume_a=140143.0, total_volume_b=127649.0
Keep Low=> total_count=4, avg_price_diff=85, total_volume_a=305267.0, total_volume_b=649525.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=4526.0, total_volume_b=201759.0
Keep Low=> total_count=2, avg_price_diff=97, total_volume_a=103932.0, total_volume_b=18391.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=108370.0, total_volume_b=17381.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=63486.0, total_volume_b=15592.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=4221.0, total_volume_b=1544.0
Keep Low=> total_count=5, avg_price_diff=96, total_volume_a=114366.0, total_volume_b=81226.0
Keep Low=> total_count=11, avg_price_diff=92, total_volume_a=407433.0, total_volume_b=137644.0
Keep Low=> total_count=5, avg_price_diff=91, total_volume_a=507175.0, total_volume_b=310586.0
Keep Low=> total_count=2, avg_price_diff=88, total_volume_a=300829.0, total_volume_b=30620.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=153264.0, total_volume_b=134413.0
Keep Low=> total_count=2, avg_price_diff=89, total_volume_a=283907.0, total_volume_b=51095.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=54170.0, total_volume_b=63417.0
Keep Low=> total_count=2, avg_price_diff=93, total_volume_a=69533.0, total_volume_b=53215.0
Keep Low=> total_count=5, avg_price_diff=62, total_volume_a=2017974.0, total_volume_b=828826.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=190072.0, total_volume_b=80423.0
Keep Low=> total_count=15, avg_price_diff=84, total_volume_a=2606076.0, total_volume_b=1524001.0
Keep Low=> total_count=1, avg_price_diff=90, total_volume_a=241192.0, total_volume_b=310987.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=500.0, total_volume_b=341200.0
Keep Low=> total_count=13, avg_price_diff=90, total_volume_a=1371722.0, total_volume_b=897793.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=89064.0, total_volume_b=56970.0
Keep Low=> total_count=2, avg_price_diff=78, total_volume_a=468680.0, total_volume_b=1143115.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=114975.0, total_volume_b=119208.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=85678.0, total_volume_b=9773.0
Keep Low=> total_count=77, avg_price_diff=76, total_volume_a=4893743.0, total_volume_b=3809633.0
Keep Low=> total_count=1, avg_price_diff=80, total_volume_a=3198.0, total_volume_b=54786.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=55070.0, total_volume_b=14145.0
Keep Low=> total_count=4, avg_price_diff=93, total_volume_a=126959.0, total_volume_b=8544.0
Keep Low=> total_count=14, avg_price_diff=91, total_volume_a=262392.0, total_volume_b=81415.0
Keep Low=> total_count=8, avg_price_diff=90, total_volume_a=288610.0, total_volume_b=130946.0
Keep Low=> total_count=2, avg_price_diff=95, total_volume_a=173348.0, total_volume_b=52017.0
Keep Low=> total_count=2, avg_price_diff=98, total_volume_a=77258.0, total_volume_b=33140.0
Keep Low=> total_count=10, avg_price_diff=96, total_volume_a=352922.0, total_volume_b=189210.0
Keep Low=> total_count=2, avg_price_diff=94, total_volume_a=66235.0, total_volume_b=25010.0
Keep Low=> total_count=4, avg_price_diff=97, total_volume_a=34810.0, total_volume_b=37090.0
Keep Low=> total_count=1, avg_price_diff=91, total_volume_a=2923.0, total_volume_b=3000.0
Keep Low=> total_count=1, avg_price_diff=92, total_volume_a=35940.0, total_volume_b=4460.0
Keep Low=> total_count=2, avg_price_diff=94, total_volume_a=10608.0, total_volume_b=6575.0
Keep Low=> total_count=9, avg_price_diff=87, total_volume_a=167002.0, total_volume_b=84099.0
Keep Low=> total_count=2, avg_price_diff=98, total_volume_a=10894.0, total_volume_b=100.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=6764.0, total_volume_b=2004.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=36443.0, total_volume_b=54877.0
Keep Low=> total_count=3, avg_price_diff=97, total_volume_a=109529.0, total_volume_b=57542.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=126360.0, total_volume_b=143899.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=13170.0, total_volume_b=7374.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=12832.0, total_volume_b=477.0
Keep Low=> total_count=3, avg_price_diff=99, total_volume_a=111123.0, total_volume_b=59674.0
Keep Low=> total_count=4, avg_price_diff=97, total_volume_a=33177.0, total_volume_b=55205.0
Keep Low=> total_count=3, avg_price_diff=96, total_volume_a=40478.0, total_volume_b=56145.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=7619.0, total_volume_b=3100.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=48061.0, total_volume_b=13600.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=18792.0, total_volume_b=204.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=34975.0, total_volume_b=72490.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=93905.0, total_volume_b=6040.0
Keep Low=> total_count=2, avg_price_diff=98, total_volume_a=43914.0, total_volume_b=100612.0
Keep Low=> total_count=9, avg_price_diff=95, total_volume_a=328341.0, total_volume_b=163783.0
Keep Low=> total_count=7, avg_price_diff=95, total_volume_a=229813.0, total_volume_b=391445.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=3364.0, total_volume_b=300.0
Keep Low=> total_count=17, avg_price_diff=93, total_volume_a=801032.0, total_volume_b=407166.0
Keep Low=> total_count=3, avg_price_diff=96, total_volume_a=50711.0, total_volume_b=5600.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=154634.0, total_volume_b=16940.0
Keep Low=> total_count=5, avg_price_diff=94, total_volume_a=203266.0, total_volume_b=111559.0
Keep Low=> total_count=2, avg_price_diff=95, total_volume_a=55769.0, total_volume_b=11037.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=30889.0, total_volume_b=139345.0
Keep Low=> total_count=26, avg_price_diff=90, total_volume_a=597785.0, total_volume_b=233502.0
Keep Low=> total_count=6, avg_price_diff=92, total_volume_a=632785.0, total_volume_b=552688.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=138444.0, total_volume_b=93040.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=77130.0, total_volume_b=16900.0
Keep Low=> total_count=4, avg_price_diff=95, total_volume_a=345390.0, total_volume_b=92028.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=244771.0, total_volume_b=78314.0
Keep Low=> total_count=2, avg_price_diff=85, total_volume_a=92686.0, total_volume_b=226778.0
Keep Low=> total_count=4, avg_price_diff=93, total_volume_a=706935.0, total_volume_b=312467.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=11121.0, total_volume_b=99496.0
Keep Low=> total_count=55, avg_price_diff=86, total_volume_a=2531153.0, total_volume_b=1112053.0
Keep Low=> total_count=15, avg_price_diff=94, total_volume_a=1961533.0, total_volume_b=317136.0
Keep Low=> total_count=2, avg_price_diff=98, total_volume_a=119024.0, total_volume_b=464.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=121127.0, total_volume_b=14221.0
Keep Low=> total_count=11, avg_price_diff=85, total_volume_a=225166.0, total_volume_b=263312.0
Keep Low=> total_count=1, avg_price_diff=94, total_volume_a=12444.0, total_volume_b=5592.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=75043.0, total_volume_b=6247.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=128078.0, total_volume_b=13090.0
Keep Low=> total_count=3, avg_price_diff=89, total_volume_a=171334.0, total_volume_b=72319.0
Keep Low=> total_count=2, avg_price_diff=92, total_volume_a=542757.0, total_volume_b=19765.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=26151.0, total_volume_b=1000.0
Keep High=> total_count=1, avg_price_diff=356, total_volume_a=694530.0, total_volume_b=1887674.0
Keep Low=> total_count=1, avg_price_diff=51, total_volume_a=346222.0, total_volume_b=233702.0
Keep Low=> total_count=1, avg_price_diff=71, total_volume_a=282133.0, total_volume_b=131810.0
Keep Low=> total_count=1, avg_price_diff=-37, total_volume_a=447924.0, total_volume_b=401373.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=259597.0, total_volume_b=163069.0
Keep Low=> total_count=1, avg_price_diff=99, total_volume_a=217007.0, total_volume_b=22417.0
Keep Low=> total_count=2, avg_price_diff=97, total_volume_a=130399.0, total_volume_b=145534.0
